gaia_index,group,fold,rcl_pred_service,rcl_correct,rcl_agreement,dominant_modality,status,latency_sec
5032,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.8559339046478271
9845,A_trace_agree_correct,1,mobservice1,True,support,trace,ok,1.6581318378448486
9725,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.313678503036499
12115,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.960360050201416
8551,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.85396146774292
14636,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.7783465385437012
9770,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.233876943588257
11034,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9068880081176758
14713,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.910299301147461
16000,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9289219379425049
9713,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.7377803325653076
12942,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.917402744293213
6970,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9516987800598145
12792,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.157970905303955
12813,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.5518758296966553
12872,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.115950107574463
15882,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.7430667877197266
5336,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.1075797080993652
756,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.6321980953216553
1778,A_trace_agree_correct,0,mobservice1,True,support,metric,ok,1.6810195446014404
10241,A_trace_agree_correct,0,mobservice1,True,unclear,trace,ok,1.837019681930542
11709,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9798877239227295
13489,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9340755939483643
6384,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.7980196475982666
14745,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.6365258693695068
2234,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.6405284404754639
5483,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.1226980686187744
12925,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.064546823501587
13553,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.963965892791748
3582,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.821265459060669
1750,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.685511589050293
10380,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.212385416030884
13379,A_trace_agree_correct,0,mobservice1,True,support,metric,ok,1.6619703769683838
5475,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.286482334136963
7334,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.158547878265381
1283,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,1.9321417808532715
16097,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.1739845275878906
6536,A_trace_agree_correct,0,mobservice1,True,support,metric,ok,1.8888087272644043
1848,A_trace_agree_correct,0,mobservice1,True,contradict,trace,ok,2.3172860145568848
1903,A_trace_agree_correct,0,mobservice1,True,support,trace,ok,2.1835029125213623
7072,B_trace_agree_wrong,2,webservice2,False,support,trace,ok,2.089874505996704
5301,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.1738462448120117
10244,B_trace_agree_wrong,2,webservice2,False,unclear,trace,ok,1.7567386627197266
4535,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.5412099361419678
810,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.7271842956542969
15595,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.851184368133545
13592,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.912196159362793
10489,B_trace_agree_wrong,1,mobservice1,False,unclear,trace,ok,2.041414260864258
8807,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.7976810932159424
1399,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.8500983715057373
14325,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.1406569480895996
2480,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.695326328277588
9288,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.244877338409424
972,B_trace_agree_wrong,0,mobservice1,False,support,metric,ok,1.4359827041625977
11837,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.9578235149383545
8907,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.916893482208252
2242,B_trace_agree_wrong,2,redisservice2,False,unclear,trace,ok,2.1648709774017334
10767,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,2.2083940505981445
1381,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.1218934059143066
3485,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.6787354946136475
1398,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,1.7428672313690186
5285,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.9519777297973633
1973,B_trace_agree_wrong,1,mobservice1,False,support,trace,ok,2.0258922576904297
5049,B_trace_agree_wrong,2,webservice2,False,support,trace,ok,1.6147596836090088
490,B_trace_agree_wrong,0,mobservice1,False,support,trace,ok,1.6468615531921387
